counting_site_name,peak_hour,avg_volume,status
Schwamendingenstrasse,17:00,2908,Bottleneck
Sihlfeldstrasse,17:00,1649,Bottleneck
Rosengartenstrasse,16:00,1563,Bottleneck
Rosengartenstrasse,16:00,1530,Bottleneck
Manessestrasse,17:00,1443,Bottleneck
Manessestrasse,17:00,1401,Bottleneck
Utoquai,17:00,1323,Bottleneck
Winterthurerstrasse,17:00,1176,Bottleneck
Uetlibergstrasse,17:00,1149,Bottleneck
Hirschwiesenstrasse,16:00,1143,Bottleneck
Pfingstweidstrasse,16:00,1135,Bottleneck
Hardbrücke,17:00,992,Bottleneck
Uetlibergstrasse,17:00,984,Bottleneck
Ueberlandstrasse,17:00,965,Bottleneck
Bellerivestrasse,17:00,931,Bottleneck
Hohlstrasse,16:00,922,Bottleneck
Schimmelstrasse,16:00,845,Bottleneck
Wehntalerstrasse,17:00,842,Bottleneck
Europabrücke,17:00,828,Bottleneck
Europabrücke,17:00,825,Bottleneck
Walchestrasse,17:00,770,Bottleneck
Seebahnstrasse,15:00,754,Bottleneck
Uraniastrasse,17:00,697,Normal
Rämistrasse,17:00,661,Normal
Hardturmstrasse,16:00,657,Normal
Birchstrasse,17:00,649,Normal
Alfred-Escher-Strasse,15:00,641,Normal
Forchstrasse,16:00,637,Normal
Seebahnstrasse,16:00,627,Normal
Neumühlequai,15:00,609,Normal
Seilergraben,14:00,607,Normal
Seestrasse,17:00,601,Normal
Hardstrasse,16:00,599,Normal
Glatttalstrasse,17:00,597,Normal
Dreikönigstrasse,17:00,584,Normal
Winterthurerstrasse,17:00,582,Normal
Hardbrücke,16:00,562,Normal
Duttweilerstrasse,16:00,554,Normal
Gessnerallee,16:00,548,Normal
Schaffhauserstrasse,17:00,547,Normal
Tobelhofstrasse,17:00,547,Normal
Hofwiesenstrasse,17:00,537,Normal
Kornhausbrücke,17:00,532,Normal
Regensdorferstrasse,17:00,520,Normal
Allmendstrasse,17:00,505,Normal
Rautistrasse,17:00,502,Normal
Manessestrasse,17:00,501,Normal
Albisstrasse,17:00,490,Normal
Thurgauerstrasse,17:00,488,Normal
Binzmühlestrasse,17:00,455,Normal
Limmattalstrasse,17:00,434,Normal
Birmensdorferstrasse,17:00,433,Normal
Stampfenbachstrasse,17:00,432,Normal
Pfingstweidstrasse,17:00,432,Normal
Badenerstrasse,16:00,426,Normal
Soodstrasse,17:00,422,Normal
Tobelhofstrasse,16:00,416,Normal
Badenerstrasse,17:00,414,Normal
Bergstrasse,17:00,408,Normal
Stauffacherquai,11:00,403,Normal
Wipkingerplatz,17:00,390,Normal
Albisriederstrasse,17:00,375,Normal
Emil-Klöti-Strasse,17:00,370,Normal
Talstrasse,17:00,361,Normal
Zeltweg,14:00,359,Normal
Binzmühlestrasse,17:00,350,Normal
Weststrasse,17:00,347,Normal
Hagenholzstrasse,17:00,346,Normal
Albisriederstrasse,17:00,341,Normal
Wehntalerstrasse,17:00,338,Normal
Altstetterstrasse,17:00,334,Normal
Stauffacherstrasse,17:00,331,Normal
Rämistrasse,14:00,331,Normal
Winterthurerstrasse,17:00,331,Normal
Limmatquai,16:00,325,Normal
Bahnhofbrücke,16:00,323,Normal
Gutstrasse,17:00,322,Normal
Schwamendingenstrasse,17:00,310,Normal
Schweighofstrasse,16:00,304,Normal
Witikonerstrasse,17:00,301,Normal
Saatlenstrasse,17:00,300,Normal
"Am Wasser",17:00,300,Normal
Albisriederstrasse,17:00,297,Normal
Stauffacherstrasse,17:00,296,Normal
Gutstrasse,17:00,295,Normal
Badenerstrasse,14:00,290,Normal
Hohlstrasse,17:00,289,Normal
Katzenschwanzstrasse,16:00,281,Normal
Dübendorfstrasse,17:00,272,Normal
Birmensdorferstrasse,17:00,266,Normal
Regensbergstrasse,17:00,258,Normal
Hottingerstrasse,16:00,257,Normal
Stockerstrasse,17:00,253,Normal
Höschgasse,17:00,250,Normal
Letzigraben,17:00,242,Normal
Wallisellenstrasse,17:00,240,Normal
Schauenbergstrasse,16:00,219,Normal
Angererstrasse,17:00,208,Normal
Dreiwiesenstrasse,16:00,191,Normal
Hardturmstrasse,16:00,182,Normal
Lenggstrasse,15:00,153,Normal
Brunaustrasse,17:00,151,Normal
Stauffacherstrasse,17:00,147,Normal
Zollikerstrasse,16:00,143,Normal
Zürichbergstrasse,16:00,140,Normal
Bändliweg,17:00,130,Normal
Seebacherstrasse,17:00,119,Normal
Limmatquai,14:00,78,Normal
Bernerstrasse,22:00,0,Normal
Badenerstrasse,22:00,0,Normal
