counting_site_name,dominant_direction,dominant_volume,total_volume,dominance_share,classification
Saatlenstrasse,outbound,1847633,1847633,1.0000,"Strong corridor dependency"
Stauffacherquai,Hauptbahnhof,6833618,6833618,1.0000,"Strong corridor dependency"
Dreikönigstrasse,Talstrasse,7724516,7724516,1.0000,"Strong corridor dependency"
Sihlfeldstrasse,Manessestrasse,22879177,22879177,1.0000,"Strong corridor dependency"
Bändliweg,Höngg/Europabrücke,1629245,1875278,0.8688,"Strong corridor dependency"
Brunaustrasse,Enge,3246405,3831529,0.8473,"Strong corridor dependency"
Hottingerstrasse,Heimplatz,5685458,8044751,0.7067,"Strong corridor dependency"
Alfred-Escher-Strasse,Sihlhölzli,15993217,23006092,0.6952,"Strong corridor dependency"
Hardturmstrasse,outbound,16612492,24205461,0.6863,"Strong corridor dependency"
Letzigraben,outbound,2716593,3986419,0.6815,"Strong corridor dependency"
Bahnhofbrücke,Bahnhof,6780646,9986119,0.6790,"Strong corridor dependency"
Hagenholzstrasse,outbound,1359658,2028881,0.6702,"Strong corridor dependency"
Rautistrasse,Albisriederstrasse,4840463,7254795,0.6672,"Strong corridor dependency"
Wipkingerplatz,Wipkingerplatz,6573950,10098155,0.6510,"Strong corridor dependency"
"Am Wasser",inbound,4011257,6181623,0.6489,"Strong corridor dependency"
Soodstrasse,inbound,6831379,10856201,0.6293,"Strong corridor dependency"
Gessnerallee,Selnau,11938393,19076044,0.6258,"Strong corridor dependency"
Stampfenbachstrasse,Schaffhauserplatz,7410678,12476061,0.5940,"Moderate directional preference"
Hofwiesenstrasse,Bucheggplatz,9042364,15250416,0.5929,"Moderate directional preference"
Hirschwiesenstrasse,Winterthur,7326739,12556419,0.5835,"Moderate directional preference"
Schimmelstrasse,Manessestrasse,17216218,29740349,0.5789,"Moderate directional preference"
Zeltweg,Kreuzplatz,6862468,11886935,0.5773,"Moderate directional preference"
Gutstrasse,Birmensdorferstrasse,9160665,16178067,0.5662,"Moderate directional preference"
Angererstrasse,Bleicherweg,3637979,6458090,0.5633,"Moderate directional preference"
Seilergraben,"Central und Mühlegasse",11520923,20498807,0.5620,"Moderate directional preference"
Höschgasse,Hegibachplatz,3756067,6710035,0.5598,"Moderate directional preference"
Hardstrasse,Bucheggplatz,11633066,20788275,0.5596,"Moderate directional preference"
Seebahnstrasse,Hohlstrasse,24660130,44105619,0.5591,"Moderate directional preference"
Birchstrasse,Autobahn,10130899,18129894,0.5588,"Moderate directional preference"
Europabrücke,Altstetten,18180993,32608856,0.5575,"Moderate directional preference"
Walchestrasse,Bahnhof,10823480,19450242,0.5565,"Moderate directional preference"
Talstrasse,See,6359010,11504649,0.5527,"Moderate directional preference"
Neumühlequai,Central,11191437,20313167,0.5509,"Moderate directional preference"
Seestrasse,inbound,8171682,14862835,0.5498,"Moderate directional preference"
Limmattalstrasse,inbound,5867075,10735304,0.5465,"Moderate directional preference"
Wallisellenstrasse,inbound,3211118,5891073,0.5451,"Moderate directional preference"
Albisstrasse,inbound,6573220,12137237,0.5416,"Moderate directional preference"
Duttweilerstrasse,Pfingstweidstrasse,8527317,15831364,0.5386,"Moderate directional preference"
Regensbergstrasse,Affoltern,2474327,4596092,0.5384,"Moderate directional preference"
Kornhausbrücke,Limmatplatz,8589528,15967641,0.5379,"Moderate directional preference"
Tobelhofstrasse,outbound,8318641,15467609,0.5378,"Moderate directional preference"
Thurgauerstrasse,outbound,7079634,13181033,0.5371,"Moderate directional preference"
Forchstrasse,inbound,9689147,18091049,0.5356,"Moderate directional preference"
Utoquai,Bellevue,21198914,39668128,0.5344,"Moderate directional preference"
Allmendstrasse,inbound,7361654,13833723,0.5322,"Moderate directional preference"
Rosengartenstrasse,Bucheggplatz,52596945,98985458,0.5314,"Moderate directional preference"
Stockerstrasse,Stauffacherplatz,3569090,6739294,0.5296,"Moderate directional preference"
Lenggstrasse,Südstrasse,1742820,3294871,0.5289,"Moderate directional preference"
Emil-Klöti-Strasse,Bucheggplatz,4974520,9436549,0.5272,"Moderate directional preference"
Weststrasse,inbound,4516694,8604224,0.5249,"Moderate directional preference"
Altstetterstrasse,outbound,1833403,3494605,0.5246,"Moderate directional preference"
Schaffhauserstrasse,inbound,7842549,14959533,0.5243,"Moderate directional preference"
Hohlstrasse,Hardplatz,18822000,35928012,0.5239,"Moderate directional preference"
Zürichbergstrasse,inbound,1031191,1974868,0.5222,"Moderate directional preference"
Schauenbergstrasse,Hönggerberg,559468,1072698,0.5216,"Moderate directional preference"
Birmensdorferstrasse,inbound,9618074,18544525,0.5186,"Moderate directional preference"
Winterthurerstrasse,outbound,29752663,57440137,0.5180,"Moderate directional preference"
Katzenschwanzstrasse,outbound,3457319,6693951,0.5165,"Moderate directional preference"
Rämistrasse,Heimplatz,16174149,31325135,0.5163,"Moderate directional preference"
Seebacherstrasse,Affoltern,1444898,2803528,0.5154,"Moderate directional preference"
Dübendorfstrasse,outbound,3586223,6981755,0.5137,"Moderate directional preference"
Bergstrasse,Klusplatz,5439755,10618316,0.5123,"Moderate directional preference"
Zollikerstrasse,inbound,1629493,3181878,0.5121,"Moderate directional preference"
Pfingstweidstrasse,outbound,21051199,41111328,0.5121,"Moderate directional preference"
Bellerivestrasse,outbound,13048911,25494572,0.5118,"Moderate directional preference"
Schweighofstrasse,Albisgütli,4241596,8288509,0.5117,"Moderate directional preference"
Witikonerstrasse,outbound,3710426,7254344,0.5115,"Moderate directional preference"
Uraniastrasse,Sihlporte,11071003,21765431,0.5087,"Moderate directional preference"
Regensdorferstrasse,inbound,6075227,11960824,0.5079,"Moderate directional preference"
Ueberlandstrasse,outbound,12380308,24459576,0.5062,"Moderate directional preference"
Glatttalstrasse,inbound,7561299,14949186,0.5058,"Moderate directional preference"
Dreiwiesenstrasse,Zoo,1344609,2674631,0.5027,"Moderate directional preference"
Binzmühlestrasse,Oerlikon,9680199,19772634,0.4896,"Balanced intersection"
Hardbrücke,"Albisriederplatz und Hohlstrasse",16930324,34911335,0.4850,"Balanced intersection"
Limmatquai,Mühlegasse,5484573,11534156,0.4755,"Balanced intersection"
Uetlibergstrasse,inbound,27645260,58761919,0.4705,"Balanced intersection"
Wehntalerstrasse,inbound,13459026,30242976,0.4450,"Balanced intersection"
Badenerstrasse,inbound,11423928,26909253,0.4245,"Balanced intersection"
Stauffacherstrasse,See,8828112,21196635,0.4165,"Balanced intersection"
Schwamendingenstrasse,inbound,18937546,46426653,0.4079,"Balanced intersection"
Manessestrasse,outbound,25860652,72880255,0.3548,"Balanced intersection"
Albisriederstrasse,inbound,7586702,23393958,0.3243,"Balanced intersection"
Bernerstrasse,inbound,0,0,NULL,"Balanced intersection"
