city_district,statistical_quarter,year,pop_null_rows,pop_zero_rows
1,City,2012,0,0
1,City,2025,0,1
1,Hochschulen,2012,0,0
1,Hochschulen,2025,0,0
1,Lindenhof,2012,0,1
1,Lindenhof,2025,0,0
1,Rathaus,2012,0,0
1,Rathaus,2025,0,0
2,Enge,2012,0,0
2,Enge,2025,0,0
2,Leimbach,2012,0,0
2,Leimbach,2025,0,0
2,Wollishofen,2012,0,0
2,Wollishofen,2025,0,0
3,Alt-Wiedikon,2012,0,0
3,Alt-Wiedikon,2025,0,0
3,Friesenberg,2012,0,0
3,Friesenberg,2025,0,0
3,Sihlfeld,2012,0,0
3,Sihlfeld,2025,0,0
4,Hard,2012,0,0
4,Hard,2025,0,0
4,Langstrasse,2012,0,0
4,Langstrasse,2025,0,0
4,Werd,2012,0,0
4,Werd,2025,0,0
5,"Escher Wyss",2012,0,0
5,"Escher Wyss",2025,0,0
5,Gewerbeschule,2012,0,0
5,Gewerbeschule,2025,0,0
6,Oberstrass,2012,0,0
6,Oberstrass,2025,0,0
6,Unterstrass,2012,0,0
6,Unterstrass,2025,0,0
7,Fluntern,2012,0,0
7,Fluntern,2025,0,0
7,Hirslanden,2012,0,0
7,Hirslanden,2025,0,0
7,Hottingen,2012,0,0
7,Hottingen,2025,0,0
7,Witikon,2012,0,0
7,Witikon,2025,0,0
8,Mühlebach,2012,0,0
8,Mühlebach,2025,0,0
8,Seefeld,2012,0,0
8,Seefeld,2025,0,0
8,Weinegg,2012,0,0
8,Weinegg,2025,0,0
9,Albisrieden,2012,0,0
9,Albisrieden,2025,0,0
9,Altstetten,2012,0,0
9,Altstetten,2025,0,0
10,Höngg,2012,0,0
10,Höngg,2025,0,0
10,Wipkingen,2012,0,0
10,Wipkingen,2025,0,0
11,Affoltern,2012,0,0
11,Affoltern,2025,0,0
11,Oerlikon,2012,0,0
11,Oerlikon,2025,0,0
11,Seebach,2012,0,0
11,Seebach,2025,0,0
12,Hirzenbach,2012,0,0
12,Hirzenbach,2025,0,0
12,Saatlen,2012,0,0
12,Saatlen,2025,0,0
12,Schwamendingen-Mitte,2012,0,0
12,Schwamendingen-Mitte,2025,0,0
99,"Unbekannt (Stadt Zürich)",2025,0,0
